안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,안전표지구분,안전표지종별일련번호,주행제한속도,안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
10076,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 249-6,37.25339746,127.7041034,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10075,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 588-25,37.25470813,127.7073973,1,113,,우좌로이중굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10074,기타,강천212,적금리길,2,1,1,,,경기도 여주시 강천면 적금리 588-25,37.25470813,127.7073973,2,221,,차높이제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10073,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 588-25,37.25470813,127.7073973,2,221,,차높이제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10072,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 588-25,37.25470813,127.7073973,2,227,,일시정지표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10071,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 249-6,37.25339746,127.7041034,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10070,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 249-6,37.25339746,127.7041034,2,224,20,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10069,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 249-6,37.25339746,127.7041034,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1006,일반국도,42호,영릉로,1,1,7,,,경기도 여주시 창동 179-3,37.29041823,127.6316558,2,224,50,최고속도제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10068,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 249-6,37.25339746,127.7041034,1,118,,도로폭이좁아짐표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10067,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 249-6,37.25339746,127.7041034,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10066,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 108,37.25322018,127.7058213,1,113,,우좌로이중굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10065,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 125-4,37.25392408,127.7086069,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10064,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 125-4,37.25392408,127.7086069,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10063,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 산 30-3,37.25415964,127.7100256,2,224,40,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10062,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 산 30-3,37.25415964,127.7100256,1,113,,우좌로이중굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10061,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 123-1,37.25412561,127.7102646,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10060,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 산 30-3,37.25415964,127.7100256,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10059,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 588-20,37.25434547,127.7106879,2,224,40,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1005,일반국도,42호,영릉로,1,2,7,,,경기도 여주시 창동 179-4,37.28993584,127.6323505,1,123,,중앙분리대시작표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10058,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 21-16,37.25454925,127.7126975,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10057,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 21-14,37.25454842,127.7117149,1,114,,좌우로이중굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10056,기타,강천212,적금리길,1,1,2,,,경기도 여주시 강천면 적금리 590,37.25547031,127.7143659,2,224,40,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10055,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 635,37.24266011,127.7443539,1,127,,강변도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10054,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 636-2,37.24317137,127.7430304,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10053,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 4-1,37.24157018,127.7404795,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10052,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 101-1,37.24182673,127.7357661,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10051,기타,강천211,섬강로,2,2,2,,,경기도 여주시 강천면 강천리 101-1,37.24182673,127.7357661,2,224,60,최고속도제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10050,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,4,422,,전방표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10049,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,1,134,,자전거표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1004,일반국도,42호,영릉로,1,2,7,,,경기도 여주시 창동 179-4,37.28993584,127.6323505,4,403,,구역표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10048,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10047,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10046,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-16,37.2446373,127.7287893,1,129,,과속방지턱,2,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10045,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-16,37.2446373,127.7287893,2,224,60,최고속도제한표지,2,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10044,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-16,37.2446373,127.7287893,1,105,,ㅓ자형교차로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10043,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 산 35-16,37.2446373,127.7287893,3,303,,자전거·보행자겸용도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10042,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 284-3,37.2459238,127.7215322,2,226,,서행,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10041,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 284-3,37.2459238,127.7215322,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10040,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 285-4,37.24575479,127.7183276,1,134,,자전거표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10039,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 285-4,37.24575479,127.7183276,2,228,,양보표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1003,일반국도,42호,영릉로,1,2,7,,,경기도 여주시 창동 179-4,37.28993584,127.6323505,2,224,50,최고속도제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10038,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 285-1,37.24607361,127.718839,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10037,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 324-6,37.247258,127.7167921,4,422,,전방표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10036,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 324-6,37.247258,127.7167921,1,134,,자전거표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10035,기타,강천211,섬강로,2,1,2,,,경기도 여주시 강천면 강천리 324-11,37.24743434,127.7162378,3,303,,자전거·보행자겸용도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10034,기타,강천211,섬강로,1,2,2,,,경기도 여주시 강천면 강천리 350-7,37.24768916,127.7157438,2,226,,서행표지,3,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10033,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 324-6,37.247258,127.7167921,2,224,50,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10032,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 324-6,37.247258,127.7167921,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10031,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 324-2,37.24733603,127.7170903,4,422,,전방표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10030,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 324-2,37.24733603,127.7170903,1,134,,자전거표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10029,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 653-2,37.24606568,127.719802,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1002,일반국도,42호,영릉로,1,2,7,,,경기도 여주시 창동 179-4,37.28993584,127.6323505,3,311,,유턴표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10028,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 284,37.24601555,127.7200187,1,134,,자전거표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10027,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 284-3,37.2459238,127.7215322,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10026,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 35-16,37.2446373,127.7287893,4,425,,거리표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10025,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 35-16,37.2446373,127.7287893,2,224,60,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10024,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 35-16,37.2446373,127.7287893,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10023,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10022,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,4,425,,거리표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10021,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,2,224,60,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10020,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 35-13,37.24296665,127.7331169,1,129,,과속방지턱,2,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10019,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 101-1,37.24182673,127.7357661,2,224,60,최고속도제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1001,일반국도,42호,영릉로,1,2,7,,,경기도 여주시 창동 180-3,37.28956165,127.6327231,4,403,,구역표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10018,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 101-1,37.24182673,127.7357661,3,303,,자전거·보행자겸용도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10017,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 101-1,37.24182673,127.7357661,2,224,60,최고속도제한표지,2,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10016,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 101-1,37.24182673,127.7357661,1,129,,과속방지턱,2,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10015,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 4-1,37.24157018,127.7404795,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10014,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 4-1,37.24157018,127.7404795,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10013,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 636-2,37.24317137,127.7430304,1,127,,강변도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10012,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 603-4,37.23531101,127.7089191,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10011,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 8-2,37.24256143,127.7460769,2,224,30,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10010,기타,강천211,섬강로,1,1,2,,,경기도 여주시 강천면 강천리 산 8-2,37.24256143,127.7460769,3,303,,자전거·보행자겸용도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10009,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 853-1,37.28471186,127.7037462,2,226,,서행표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1000,일반국도,42호,영릉로,1,2,7,,,경기도 여주시 창동 180-3,37.28956165,127.6327231,2,214,,좌회전금지표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10008,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 947-16,37.28631336,127.7078177,2,224,50,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10007,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 947-16,37.28631336,127.7078177,1,114,,좌우로이중굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10006,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 778-1,37.28932474,127.7087267,2,228,,양보표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10005,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 778-1,37.28932474,127.7087267,1,107,,우합류도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10004,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 682-1,37.29161822,127.7071505,2,224,50,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10003,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 682-1,37.29161822,127.7071505,2,226,,서행표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10002,기타,강천210,곱새기로,2,1,2,,,경기도 여주시 강천면 걸은리 695-1,37.29296069,127.7076749,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
999,일반국도,42호,영릉로,1,2,7,,,경기도 여주시 창동 180-3,37.28956165,127.6327231,2,212,,직진금지표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
99,일반국도,3호,경충대로,1,1,5,,,경기도 여주시 가남읍 태평리 산 35-16,37.21430093,127.5404722,4,415,,통행주의표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
9,일반국도,3호,경충대로,1,2,4,,,경기도 여주시 가남읍 은봉리 93-1,37.17938161,127.5641553,2,224,60,최고속도제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
285,일반국도,37호,여양로,1,2,2,,,경기도 여주시 대신면 천서리 507-2,37.39555596,127.550969,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2858,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 세종대왕면 내양리 364,37.33397591,127.5788186,1,129,,과속방지턱,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2857,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 세종대왕면 백석리 659-39,37.33386415,127.5746466,1,140,,위험표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2856,국가지원지방도,333호,능북로,1,2,2,,,경기도 여주시 세종대왕면 백석리 661-3,37.33389242,127.5740866,2,226,,서행표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2855,국가지원지방도,333호,능북로,1,2,2,,,경기도 여주시 세종대왕면 백석리 661-2,37.33400367,127.5739713,2,220,,차중량제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2854,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 128-2,37.33372227,127.571272,2,226,,서행표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2853,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 128-2,37.33372227,127.571272,1,140,,위험표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2852,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 129-3,37.33392931,127.570416,2,220,,차중량제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2851,국가지원지방도,333호,능북로,1,1,3,,,경기도 여주시 흥천면 율극리 129-3,37.33392931,127.570416,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2850,국가지원지방도,333호,능북로,1,2,3,,,경기도 여주시 흥천면 율극리 129-3,37.33392931,127.570416,1,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2849,국가지원지방도,333호,능북로,1,2,3,,,경기도 여주시 흥천면 율극리 129-3,37.33392931,127.570416,2,224,60,최고속도제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
284,일반국도,37호,여양로,1,1,3,,,경기도 여주시 대신면 천서리 481-12,37.39668632,127.5497806,2,226,,서행표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2848,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 118-3,37.33463258,127.5690947,1,101,,┼자형교차로,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2847,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 118-3,37.33463258,127.5690947,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2846,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 402,37.33471432,127.5694581,1,112,,좌로굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2845,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 402,37.33471432,127.5694581,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2844,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 402,37.33471432,127.5694581,2,226,,서행표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2843,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 402,37.33471432,127.5694581,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2842,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 402,37.33471432,127.5694581,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2841,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 276-7,37.33860948,127.564815,2,220,,차중량제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2840,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 율극리 276-7,37.33860948,127.564815,2,226,,서행표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2839,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 귀백리 47-1,37.34081989,127.5604573,2,228,,양보표지,1,Y,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
283,일반국도,37호,여양로,1,1,3,,,경기도 여주시 대신면 천서리 481-12,37.39668632,127.5497806,1,101,,┼자형교차로,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2838,국가지원지방도,333호,능북로,1,1,2,,,경기도 여주시 흥천면 귀백리 47-1,37.34081989,127.5604573,1,119,,우측차로없어짐표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2837,국가지원지방도,333호,능북로,1,2,1,,,경기도 여주시 흥천면 귀백리 49-5,37.34097392,127.5600967,3,304,,회전교차로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
2836,국가지원지방도,333호,능북로,1,2,1,,,경기도 여주시 흥천면 귀백리 49-6,37.34071041,127.5579537,3,304,,회전교차로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
